AIRPORT,ICAO,COUNTRY,TERMINAL,PORTNAM,LONGITUD,LATITUDE
1XJ ,EGDX,EG,    ,ST ATHAN                                ,W003260800  ,N51241700   
AAL ,EKYT,EK,    ,AALBORG                                 ,E009505699  ,N57053404   
AAN ,OMAL,OM,    ,AL AIN INTL                             ,E055363300  ,N24154200   
ABA ,UNAA,U ,    ,ABAKAN                                  ,E091230600  ,N53443000   
ADB ,LTBJ,LT,    ,"IZMIR,ADNAN MENDERES                    ",E027091800  ,N38172100   
AER ,URSS,U ,    ,SOCHI                                   ,E039565400  ,N43264200   
AFT ,AGAF,AG,    ,AFUTARA                                 ,E160565400  ,S09110600   
AKH ,OEPS,OE,    ,AL  KHARJ PRINCE SULTAN AIRBASE         ,E047334353  ,N24041355   
AKX ,UATT,UA,    ,AKTYUBINSK                              ,E057122400  ,N50144500   
ALA ,UAAA,UA,    ,ALMATY                                  ,E077024100  ,N43211900   
ALV ,LPAR,LP,    ,ALVERCA                                 ,W009014200  ,N38530600   
AMM ,OJAI,OJ,    ,"AMMAN,QUEEN ALIA INTL                   ",E035593557  ,N31432120   
AMS ,EHAM,EH,3,"AMSTERDAM,SCHIPHOL                      ",E004455100  ,N52182900   
ANR ,EBAW,EB,    ,"ANTWERP,DEURNE                          ",E004273743  ,N51112205   
ARN ,ESSA,ES,    ,"STOCKHOLM,ARLANDA                       ",E017550700  ,N59390700   
ASB ,UTAA,UN,    ,ASHGABAT                                ,E058214800  ,N37593000   
ASE ,KASE,K ,    ,ASPEN  PITKIN CO  SARDYCO               ,W106520790  ,N39132340   
ASF ,URWA,U ,    ,ASTRAKHAN                               ,E048002300  ,N46170000   
ATH ,LGAV,LG,    ,"ATHENS, VENIZELOS INTL                  ",E023564020  ,N37561212   
ATL ,KATL,K ,    ,"ATLANTA, THE HARTSFIELD INTL,GA         ",W084254104  ,N33381219   
ATQ ,VIAR,V ,    ,AMRITSAR                                ,E074480750  ,N31421600   
AUH ,OMAA,OM,    ,ABU DHABI INTL                          ,E054390400  ,N24255900   
AYT ,LTAI,LT,    ,ANTALYA                                 ,E030473400  ,N36540100   
BAK ,KBAK,K ,    ,COLUMBUS MUNI                           ,W085534680  ,N39154290   
BAX ,UNBB,U ,    ,BARNAUL                                 ,E083322400  ,N53214800   
BCN ,LEBL,LE,    ,BARCELONAEL PRAT                        ,E002044200  ,N41174900   
BFN ,FABL,FA,    ,BLOEMFONTEIN                            ,E026181427  ,S29053764   
BHX ,EGBB,EG,    ,BIRMINGHAM                              ,W001445290  ,N52271388   
BJV ,LTFE,LT,    ,"MILAS,BODRUM                            ",E027405300  ,N37145000   
BKK ,VTBS,VT,1,BANGKOK INTL                            ,E100362000  ,N13545200   
BOH ,EGHH,EG,    ,BOURNEMOUTH                             ,W001503300  ,N50464800   
BOM ,VABB,V ,    ,"MUMBAI,CHHATRAPATI SHIVAJI INTL         ",E072515753  ,N19052954   
BRU ,EBBR,EB,    ,BRUSSELS NATIONAL                       ,E004290446  ,N50540502   
BUD ,LHBP,LH,    ,"BUDAPEST,FERIHEGY                       ",E019154251  ,N47262158   
BUS ,UGSB,UG,    ,BATUMI                                  ,E041135892  ,N41370000   
BXN ,LTBV,LT,    ,IMSIK                                   ,E027400800  ,N37082400   
BYN ,ZMBH,ZM,    ,BAYANKHONGOR                            ,E100421000  ,N46100300   
CAI ,HECA,HE,    ,CAIRO INTL                              ,E031245000  ,N30064100   
CAN ,ZGGG,Z ,    ,"GUANGZHOU,BAIYUN                        ",E113182400  ,N23232400   
CBG ,EGSC,EG,    ,CAMBRIDGE                               ,E000103000  ,N52121800   
CCU ,VECC,V ,    ,KOLKATANETAJI SUBHASH CHANDRA BOSE IN   ,E088264818  ,N22391420   
CDG ,LFPG,LF,2A  ,"PARIS, CHARLES DE GAULLE                ",E002325215  ,N49003509   
CEK ,USCC,U ,    ,"CHELYABINSK,BALANDINO                   ",E061301800  ,N55181800   
CGN ,EDDK,ED,    ,COLOGNE  BONN                           ,E007083388  ,N50515730   
CHR ,LFLX,LF,    ,"CHATEAUROUX,DEOLS                       ",E001431605  ,N46513713   
CIT ,UAII,UA,    ,SHYMKENT                                ,E069283400  ,N42215400   
CJJ ,RKTU,RK,    ,CHEONGJU                                ,E127293800  ,N36431400   
CJU ,RKPC,RK,    ,JEJU INTL                               ,E126293400  ,N33304400   
CMB ,VCBI,VC,    ,"COLOMBO,BANDARANAIKE INTL               ",E079530708  ,N07104868   
CXR ,VVCR,VV,    ,CAM RANH                                ,E109133100  ,N11593500   
DAD ,VVDN,VV,    ,DANANG INTL                             ,E108120100  ,N16023800   
DEL ,VIDP,V ,1,"DELHI,INDIRA GANDHI INTL                ",E077064369  ,N28340742   
DFW ,KDFW,K ,    ,"DALLAS  FT WORTH INTL,TX                ",W097021678  ,N32534858   
DLC ,ZYTL,Z ,    ,"DALIAN,ZHOUSHUIZI                       ",E121321200  ,N38574800   
DLM ,LTBS,LT,    ,"MUGLA,DALAMAN                           ",E028472900  ,N36424500   
DMB ,UADD,UA,    ,DZHAMBUL                                ,E071181300  ,N42511300   
DME ,UUDD,U ,    ,"MOSCOW,DOMODEDOVO                       ",E037542400  ,N55243000   
DMK ,VTBD,VT,    ,DON MUANG                               ,E100362400  ,N13544500   
DPS ,WADD,W ,    ,DEN PASARBALI INTL                      ,E115100900  ,S08445100   
DUB ,EIDW,EI,    ,DUBLIN INTL                             ,W006161200  ,N53251700   
DUR ,FADN,FA,    ,DURBAN INTL                             ,E031070953  ,S29364238   
DUS ,EDDL,ED,    ,DUSSELDORF                              ,E006452632  ,N51165133   
DWC ,OMDW,OM,    ,AL MAKTOUM INTL                         ,E055103174  ,N24550560   
DXB ,OMDB,OM,1,DUBAI INTL                              ,E055215200  ,N25151000   
DYU ,UTDD,UJ,    ,DUSHANBE                                ,E068493000  ,N38323600   
DZN ,UAKD,UA,    ,ZHEZKAZGAN                              ,E067453300  ,N47431000   
EGH ,EGHL,EG,    ,                                        ,W00102.0    ,N5111.00    
EIN ,EHEH,EH,    ,EINDHOVEN AB                            ,E005222800  ,N51270100   
EMA ,EGNX,EG,    ,EAST MIDLANDS                           ,W001194100  ,N52495200   
ESB ,LTAC,LT,    ,"ANKARA,ESENBOGA                         ",E032594200  ,N40074100   
EVN ,UDYZ,AM,    ,"YEREVAN,ZVARTNOTS                       ",E044234517  ,N40085019   
EWR ,KEWR,K ,    ,"NEWARK INTL,NJ                          ",W074100720  ,N40413300   
EXT ,EGTE,EG,    ,EXETER                                  ,W003245000  ,N50440400   
FAR ,KFAR,K ,    ,"FARGO,ND,HECTOR INTL                    ",W096485675  ,N46551434   
FCO ,LIRF,LI,    ,"ROME,FIUMICINO                          ",E012142000  ,N41480100   
FDR ,KFDR,K ,    ,"FREDERICK MUN,OK                        ",W098590207  ,N34210754   
FJR ,OMFJ,OM,    ,FUJAIRAH INTL                           ,E056192700  ,N25064400   
FOC ,ZSFZ,Z ,    ,FUZHOUCHANGLE                           ,E119394200  ,N25560000   
FRA ,EDDF,ED,1,"FRANKFURT, MAIN                         ",E008341364  ,N50015990   
FRU ,UCFM,UY,1,"BISHKEK,MANAS                           ",E074284200  ,N43034200   
FZO ,EGTG,EG,    ,FILTON                                  ,W002352700  ,N51311000   
GIG ,SBGL,SB,    ,"RIO DE JANEIRO,GALEAO  ANTONIO C JOBIM I",W043150200  ,S22483600   
GMP ,RKSS,RK,    ,SEOUL / GIMPO INTL                      ,E126475100  ,N37332500   
